Position,PlayerName,Team,Opponent,Salary,PPG
FLEX,Felix Jones,Steelers,Vikings,5000,4.2
RB,DeMarco Murray,Cowboys,Chargers,14600,20.7
FLEX,DeMarco Murray,Cowboys,Chargers,14600,20.7
RB,Willis McGahee,Browns,Bengals,7500,0.9
FLEX,Willis McGahee,Browns,Bengals,7500,0.9
RB,Knowshon Moreno,Broncos,Eagles,12650,13.6
FLEX,Knowshon Moreno,Broncos,Eagles,12650,13.6
RB,Chris Johnson,Titans,Jets,9700,9.3
FLEX,Chris Johnson,Titans,Jets,9700,9.3
RB,Jamaal Charles,Chiefs,Giants,17850,24.5
FLEX,Jamaal Charles,Chiefs,Giants,17850,24.5
RB,Michael Bush,Bears,Lions,5000,2.8
FLEX,Michael Bush,Bears,Lions,5000,2.8
RB,Darren McFadden,Raiders,Redskins,12450,15.6
FLEX,Darren McFadden,Raiders,Redskins,12450,15.6
RB,Marcel Reece,Raiders,Redskins,9600,8.0
FLEX,Marcel Reece,Raiders,Redskins,9600,8.0
RB,Steven Jackson,Falcons,Patriots,12900,12.5
FLEX,Steven Jackson,Falcons,Patriots,12900,12.5
RB,Reggie Bush,Lions,Bears,13550,19.5
FLEX,Reggie Bush,Lions,Bears,13550,19.5
RB,Daniel Thomas,Dolphins,Saints,6200,8.2
FLEX,Daniel Thomas,Dolphins,Saints,6200,8.2
RB,Adrian Peterson,Vikings,Steelers,18400,21.4
FLEX,Adrian Peterson,Vikings,Steelers,18400,21.4
RB,BenJarvus Green-Ellis,Bengals,Browns,6250,8.6
FLEX,BenJarvus Green-Ellis,Bengals,Browns,6250,8.6
RB,Stevan Ridley,Patriots,Falcons,7600,4.0
FLEX,Stevan Ridley,Patriots,Falcons,7600,4.0
RB,Danny Woodhead,Chargers,Cowboys,7200,10.5
FLEX,Danny Woodhead,Chargers,Cowboys,7200,10.5
RB,Joique Bell,Lions,Bears,11450,20.5
FLEX,Joique Bell,Lions,Bears,11450,20.5
RB,Mark Ingram,Saints,Dolphins,5000,1.6
FLEX,Mark Ingram,Saints,Dolphins,5000,1.6
RB,Chris Ivory,Jets,Titans,6300,2.4
FLEX,Chris Ivory,Jets,Titans,6300,2.4
