gsis_id	name	position	games_played	avg_points	stddev_points
00-0026364	Steve Johnson	WR	33	13.603030	5.531479
00-0027567	Steve Maneri	TE	4	2.900000	3.309834
00-0026229	Steve Slaton	RB	6	2.950000	2.680640
00-0020337	Steve Smith	WR	45	12.237778	7.762654
00-0025944	Steven Hauschka	K	32	0.000000	0.000000
00-0022736	Steven Jackson	RB	32	13.737500	6.496381
00-0029660	T.J. Graham	WR	16	4.387500	3.040328
00-0020438	T.J. Houshmandzadeh	WR	6	5.266667	4.331153
00-0028090	T.J. Yates	QB	9	5.897778	7.507107
00-0029608	T.Y. Hilton	WR	16	12.000000	8.050466
00-0028061	Tandon Doss	WR	9	2.811111	2.734733
00-0024279	Tarvaris Jackson	QB	15	12.576000	5.255571
00-0026262	Tashard Choice	RB	21	3.752381	3.655344
00-0030525	Tavon Austin	WR	1	10.000000	0.000000
00-0027693	Taylor Price	WR	1	5.900000	0.000000
00-0029590	Taylor Thompson	TE	5	2.120000	0.895321
00-0025396	Ted Ginn	WR	28	2.235714	3.528477
00-0022388	Terrance Copper	WR	11	3.218182	2.838635
00-0030542	Terrance Williams	WR	1	5.200000	0.000000
00-0028825	Terrelle Pryor	QB	4	13.095000	11.504220
00-0027813	Terrence Austin	WR	6	3.950000	2.022993
00-0027253	Thad Lewis	QB	1	12.460000	0.000000
00-0025573	Thomas Clayton	RB	3	0.833333	0.309121
00-0019641	Thomas Jones	RB	16	3.568750	2.490662
00-0026289	Tim Hightower	RB	5	12.380000	5.844793
00-0027876	Tim Tebow	QB	24	9.621667	9.982049
00-0027156	Tiquan Underwood	WR	17	5.211765	3.612703
00-0027982	Titus Young	WR	24	10.129167	7.237546
00-0027888	Toby Gerhart	RB	30	5.783333	6.036118
00-0020516	Todd Heap	TE	9	8.411111	3.769599
00-0019596	Tom Brady	QB	33	26.415152	7.479046
00-0027121	Tom Brandstater	QB	1	0.000000	0.000000
00-0026878	Tom Crabtree	TE	12	5.175000	4.895257
00-0028406	Tommy Gallarda	TE	1	1.700000	0.000000
00-0029204	Toney Clemons	WR	2	3.550000	0.850000
00-0027093	Tony Fiammetta	RB	4	1.825000	0.998436
00-0006101	Tony Gonzalez	TE	33	13.821212	7.708585
00-0027695	Tony Moeaki	TE	13	6.484615	3.905784
00-0021678	Tony Romo	QB	33	20.918182	8.755907
00-0024276	Tony Scheffler	TE	27	7.244444	4.049265
00-0028596	Tori Gurley	WR	1	2.500000	0.000000
00-0027996	Torrey Smith	WR	31	12.148387	9.362515
00-0029205	Travaris Cadet	RB	9	0.877778	1.832289
00-0027070	Travis Beckum	TE	4	5.075000	5.035065
00-0029269	Travis Benjamin	WR	14	5.557143	4.050170
00-0025479	Trent Edwards	QB	1	0.560000	0.000000
00-0029675	Trent Richardson	RB	16	16.525000	7.037089
00-0027606	Trindon Holliday	WR	17	0.805882	2.690390
00-0027917	Tyler Clutts	RB	8	1.600000	0.986154
00-0030549	Tyler Eifert	TE	1	9.700000	0.000000
00-0024812	Tyler Palko	QB	6	4.890000	5.693221
00-0025604	Tyler Thigpen	QB	4	0.225000	0.612107
00-0028118	Tyrod Taylor	QB	7	2.768571	5.627675
00-0030470	Vance McDonald	TE	1	3.500000	0.000000
00-0024221	Vernon Davis	TE	31	10.751613	7.286880
00-0029547	Vick Ballard	RB	17	8.141176	4.936069
00-0027265	Victor Cruz	WR	32	18.118750	9.765706
00-0024218	Vince Young	QB	5	9.708000	9.813832
00-0028020	Vincent Brown	WR	9	8.133333	5.464227
00-0023496	Vincent Jackson	WR	33	15.469697	9.960452
00-0028142	Virgil Green	TE	5	3.340000	2.187784
00-0022054	Visanthe Shiancoe	TE	12	7.908333	3.326023
00-0022397	Vonta Leach	RB	27	2.966667	2.378920
00-0022427	Wes Welker	WR	33	19.727273	10.002311
00-0028270	Weslye Saunders	TE	6	2.733333	2.040969
00-0021756	Will Heller	TE	14	3.442857	2.741927
00-0026557	Will Ta'ufo'ou	RB	2	1.800000	0.300000
00-0028736	William Powell	RB	12	4.491667	3.684757
00-0022178	Willis McGahee	RB	25	11.928000	7.373657
00-0030536	Zac Stacy	RB	1	0.400000	0.000000
00-0030061	Zach Ertz	TE	1	2.100000	0.000000
00-0029931	Zach Line	RB	1	1.800000	0.000000
00-0025425	Zach Miller	TE	30	5.443333	2.822255
00-0026658	Zach Potter	TE	7	1.800000	1.776031
00-0028509	Zack Pianalto	TE	3	2.666667	1.228368
