Position,PlayerName,Team,Opponent,Salary,PPG
RB,Chris Johnson,Titans,Jets,9700,9.3
RB,Chris Johnson,Titans,Jets,9700,9.3
RB,Jamaal Charles,Chiefs,Giants,17850,24.5
RB,Jamaal Charles,Chiefs,Giants,17850,24.5
RB,Michael Bush,Bears,Lions,5000,2.8
RB,Michael Bush,Bears,Lions,5000,2.8
RB,Darren McFadden,Raiders,Redskins,12450,15.6
RB,Darren McFadden,Raiders,Redskins,12450,15.6
RB,Marcel Reece,Raiders,Redskins,9600,8.0
RB,Marcel Reece,Raiders,Redskins,9600,8.0
RB,Steven Jackson,Falcons,Patriots,12900,12.5
RB,Steven Jackson,Falcons,Patriots,12900,12.5
RB,Reggie Bush,Lions,Bears,13550,19.5
RB,Reggie Bush,Lions,Bears,13550,19.5
RB,Daniel Thomas,Dolphins,Saints,6200,8.2
RB,Daniel Thomas,Dolphins,Saints,6200,8.2
RB,Adrian Peterson,Vikings,Steelers,18400,21.4
RB,Adrian Peterson,Vikings,Steelers,18400,21.4
RB,BenJarvus Green-Ellis,Bengals,Browns,6250,8.6
RB,BenJarvus Green-Ellis,Bengals,Browns,6250,8.6
RB,Stevan Ridley,Patriots,Falcons,7600,4.0
RB,Stevan Ridley,Patriots,Falcons,7600,4.0
RB,Danny Woodhead,Chargers,Cowboys,7200,10.5
RB,Danny Woodhead,Chargers,Cowboys,7200,10.5
RB,Joique Bell,Lions,Bears,11450,20.5
RB,Joique Bell,Lions,Bears,11450,20.5
RB,Mark Ingram,Saints,Dolphins,5000,1.6
RB,Mark Ingram,Saints,Dolphins,5000,1.6
RB,Chris Ivory,Jets,Titans,6300,2.4
RB,Chris Ivory,Jets,Titans,6300,2.4
RB,Darren Sproles,Saints,Dolphins,10850,12.9
RB,Darren Sproles,Saints,Dolphins,10850,12.9
RB,Pierre Thomas,Saints,Dolphins,7200,10.5
RB,Pierre Thomas,Saints,Dolphins,7200,10.5
RB,Ahmad Bradshaw,Colts,Jaguars,6550,13.9
RB,Ahmad Bradshaw,Colts,Jaguars,6550,13.9
RB,Brandon Jacobs,Giants,Chiefs,5000,3.3
RB,Brandon Jacobs,Giants,Chiefs,5000,3.3
RB,Da'Rel Scott,Giants,Chiefs,6300,9.3
RB,Da'Rel Scott,Giants,Chiefs,6300,9.3
RB,Bilal Powell,Jets,Titans,9600,14.4
RB,Bilal Powell,Jets,Titans,9600,14.4
RB,Ronnie Brown,Chargers,Cowboys,5550,5.5
RB,Ronnie Brown,Chargers,Cowboys,5550,5.5
RB,LeSean McCoy,Eagles,Broncos,18500,23.1
RB,LeSean McCoy,Eagles,Broncos,18500,23.1
RB,Alfonso Smith,Cardinals,Buccaneers,5000,4.9
RB,Alfonso Smith,Cardinals,Buccaneers,5000,4.9
RB,Jonathan Dwyer,Steelers,Vikings,5000,3.0
RB,Jonathan Dwyer,Steelers,Vikings,5000,3.0
RB,Rashard Mendenhall,Cardinals,Buccaneers,7800,10.0
RB,Rashard Mendenhall,Cardinals,Buccaneers,7800,10.0
